Price,Income,Distance,Shirota,Fed,Population
18.59,3871.816667,440,56,pfo,3159
18.59,5969.058333,8460,62,dfo,997
18.59,4727.125,8460,62,dfo,997
18.59,4547.275,8460,62,dfo,997
18.6,2741.266667,8460,62,dfo,997
18.61,4384.416667,8460,62,dfo,997
18.62,6353.383333,8460,62,dfo,997
18.63,6394.883333,8460,62,dfo,997
18.64,9874.3,8460,62,dfo,997
18.64,4573.975,8460,62,dfo,997
18.64,8121.575,8460,62,dfo,997
18.66,6462.3,8460,62,dfo,997
18.66,3337.1,8460,62,dfo,997
18.69,5924.875,8460,62,dfo,997
18.69,4650.55,8460,62,dfo,997
18.69,5035,8460,62,dfo,997
18.71,3343.5,8460,62,dfo,997
18.72,6069.65,8460,62,dfo,997
18.72,3136.1,8460,62,dfo,997
18.73,3801.8,8460,62,dfo,997
18.73,5222.1,8460,62,dfo,997
18.73,8218.633333,8460,62,dfo,997
18.75,8053.066667,8460,62,dfo,997
18.75,4467.033333,8460,62,dfo,997
18.77,7410.5,8460,62,dfo,997
18.79,7153.875,8460,62,dfo,997
18.8,9024.325,440,56,pfo,3159
18.8,2822.05,8460,62,dfo,997
18.8,3270.1,8460,62,dfo,997
18.81,4497.4,8460,62,dfo,997
18.82,6001.025,440,56,pfo,3159
18.83,4066.6,8460,62,dfo,997
18.83,2893.633333,8460,62,dfo,997
18.83,4956.85,8460,62,dfo,997
18.83,5562.3,8460,62,dfo,997
18.84,3470.916667,440,56,pfo,3159
18.84,3805,440,56,pfo,3159
18.85,5482.05,8460,62,dfo,997
18.86,6673.2,8460,62,dfo,997
18.87,5373.133333,8460,62,dfo,997
18.9,9708.733333,8460,62,dfo,997
18.92,5231.45,8460,62,dfo,997
18.92,4010.808333,8460,62,dfo,997
18.92,4908.316667,8460,62,dfo,997
18.92,5466.7,8460,62,dfo,997
18.94,3866.175,8460,62,dfo,997
18.95,4993.25,440,56,pfo,3159
18.95,5264.216667,8460,62,dfo,997
18.96,5512.508333,8460,62,dfo,997
18.98,4415.3,8460,62,dfo,997
18.98,5607,8460,62,dfo,997
18.99,4948.2,8460,62,dfo,997
19,4142.725,9170,43,dfo,1828
19,4687.716667,9170,43,dfo,1828
19,5590.966667,9170,43,dfo,1828
19.03,8841.8,440,56,pfo,3159
19.03,8880.9,8460,62,dfo,997
19.04,5518.85,8460,62,dfo,997
19.04,4623.5,8460,62,dfo,997
19.06,7314.1,8460,62,dfo,997
19.07,3421.041667,8460,62,dfo,997
19.07,5155.3,8460,62,dfo,997
19.07,5699.883333,8460,62,dfo,997
19.07,3203.1,8460,62,dfo,997
19.08,5061.783333,8460,62,dfo,997
19.11,8384.2,8460,62,dfo,997
19.11,4076.766667,440,56,pfo,3159
19.14,7575.55,440,56,pfo,3159
19.15,8549.766667,440,56,pfo,3159
19.15,5965.483333,440,56,pfo,3159
19.16,8715.333333,440,56,pfo,3159
19.17,4086.9,440,56,pfo,3159
19.17,6071.2,440,56,pfo,3159
19.18,4333.2,440,56,pfo,3159
19.18,4724.325,440,56,pfo,3159
19.18,9411.15,440,56,pfo,3159
19.2,7887.5,440,56,pfo,3159
19.2,4968.266667,440,56,pfo,3159
19.21,5186.575,440,56,pfo,3159
19.21,5263.15,440,56,pfo,3159
19.22,3738.183333,440,56,pfo,3159
19.22,9543.166667,440,56,pfo,3159
19.23,7474.325,440,56,pfo,3159
19.24,4825.15,440,56,pfo,3159
19.26,5339.725,440,56,pfo,3159
19.26,9595.375,440,56,pfo,3159
19.28,5416.3,440,56,pfo,3159
19.29,3287.266667,440,56,pfo,3159
19.3,9722.8,440,56,pfo,3159
19.32,5827.233333,440,56,pfo,3159
19.33,9779.6,440,56,pfo,3159
19.34,5153.233333,440,56,pfo,3159
19.34,6002.775,440,56,pfo,3159
19.34,5808.8,440,56,pfo,3159
19.35,5899.183333,440,56,pfo,3159
19.35,8674.25,440,56,pfo,3159
19.36,5795.591667,440,56,pfo,3159
19.36,5033.425,440,56,pfo,3159
19.36,5717.116667,440,56,pfo,3159
19.36,6292.533333,440,56,pfo,3159
19.38,7750.425,440,56,pfo,3159
19.39,8659.275,440,56,pfo,3159
19.39,7080.4,440,56,pfo,3159
19.4,5127.625,440,56,pfo,3159
19.4,5937.35,440,56,pfo,3159
19.41,5110,440,56,pfo,3159
19.42,6181.866667,440,56,pfo,3159
19.43,9941.025,440,56,pfo,3159
19.43,8730.9,440,56,pfo,3159
19.45,4000.4,440,56,pfo,3159
19.45,8849.9,440,56,pfo,3159
19.45,6106.366667,440,56,pfo,3159
19.45,7937.35,440,56,pfo,3159
19.47,5418.016667,440,56,pfo,3159
19.49,6157.583333,440,56,pfo,3159
19.5,3231.033333,440,56,pfo,3159
19.5,4251.1,440,56,pfo,3159
19.51,3671.366667,440,56,pfo,3159
19.52,4925.975,440,56,pfo,3159
19.53,7634.55,440,56,pfo,3159
19.54,4471.05,440,56,pfo,3159
19.54,4781.233333,440,56,pfo,3159
19.55,4874.75,440,56,pfo,3159
19.56,10302,440,56,pfo,3159
19.56,6572.608333,440,56,pfo,3159
19.56,6403.2,440,56,pfo,3159
19.56,3476.683333,440,56,pfo,3159
19.56,3810.533333,440,56,pfo,3159
19.57,9377.6,440,56,pfo,3159
19.57,8595.9,440,56,pfo,3159
19.57,5228.45,440,56,pfo,3159
19.57,6047.466667,440,56,pfo,3159
19.58,3537.733333,440,56,pfo,3159
19.58,9046.466667,440,56,pfo,3159
19.59,6209.958333,440,56,pfo,3159
19.59,7211.6,440,56,pfo,3159
19.6,9206.85,440,56,pfo,3159
19.6,9504.575,440,56,pfo,3159
19.6,5026.8,440,56,pfo,3159
19.6,8565.85,440,56,pfo,3159
19.61,5859.766667,440,56,pfo,3159
