PriceRK;Income
9,17;2308,15
8,88;2392,9
8,94;2477,65
9,87;2562,4
12,21;2647,15
12,82;2731,9
13,74;2816,65
14,63;2901,4
16,56;2986,15
15,97;3070,9
15,62;3155,65
15,91;3240,4
16,18;3333,725
15,97;3427,05
15,52;3520,375
15,53;3613,7
15,44;3707,025
15,58;3800,35
15,72;3893,675
15,45;3987
15,2;4080,325
14,92;4173,65
14,88;4266,975
15,18;4360,3
15,15;4455,15
15;4550
14,82;4644,85
14,96;4739,7
15,03;4834,55
17,71;4929,4
17,44;5024,25
17,23;5119,1
17,99;5213,95
18,91;5308,8
19,47;5403,65
19,83;5498,5
20,42;5601,916667
20,7;5705,333333
20,62;5808,75
20,39;5912,166667
20,16;6015,583333
20,08;6119
19,9;6222,416667
19,26;6325,833333
18,5;6429,25
17,73;6532,666667
18,34;6636,083333
18,63;6739,5
18,63;6890,783333
18,78;7042,066667
18,93;7193,35
19,08;7344,633333
19,13;7495,916667
20,85;7647,2
21,1;7798,483333
20,7;7949,766667
20,25;8101,05
19,86;8252,333333
19,69;8403,616667
19,6;8554,9
19,5;8728,15
19,58;8901,4
19,61;9074,65
19,7;9247,9
20;9421,15
20,68;9594,4
20,68;9767,65
20,17;9940,9
19,89;10114,15
19,76;10287,4
19,69;10460,65
21,9;10633,9
28,54;10880,525
29,45;11127,15
27,28;11373,775
26,15;11620,4
25,82;11867,025
27,87;12113,65
28,03;12360,275
27,2;12606,9
24,64;12853,525
23,17;13100,15
22,71;13346,775
22,42;13593,4
22,05;13901,45833
21,57;14209,51667
21,41;14517,575
21,39;14825,63333
21,66;15133,69167
21,92;15441,75
23,47;15749,80833
22,7;16057,86667
22,23;16365,925
21,86;16673,98333
21,63;16982,04167
22,03;17290,1
22,78;17402,38333
23,28;17514,66667
23,5;17626,95
25,09;17739,23333
25,38;17851,51667
25,02;17963,8
24,86;18076,08333
24,2;18188,36667
23,61;18300,65
23,26;18412,93333
23,07;18525,21667
25,76;18637,5
27,94;18830,39167
29,71;19023,28333
29,75;19216,175
29,49;19409,06667
29,62;19601,95833
29,68;19794,85
31,53;19987,74167
34,86;20180,63333
33,07;20373,525
32,9;20566,41667
33,02;20759,30833
35,98;20952,2
37,22;21153,61667
36,57;21355,03333
34,53;21556,45
32,82;21757,86667
32,01;21959,28333
34,13;22160,7
35,73;22362,11667
37,52;22563,53333
37,56;22764,95
39,27;22966,36667
40,62;23167,78333
43,64;23369,2
44,28;23640,84167
43,31;23912,48333
41,27;24184,125
39,65;24455,76667
38,66;24727,40833
39,31;24999,05
38,67;25270,69167
34,84;25542,33333
32,66;25813,975
31,19;26085,61667
30,22;26357,25833
29,9;26628,9
